Reaction,Order,Rall,R1,R2,Pall,P1,P2,P3,P4,Tmin,Tmax,A,n,Ea
(CH3CH2)2NCO(O)CH(CH3)2->(C2H5)2NH+CH3CH=CH2+CO2,1,(CH3CH2)2NCO(O)CH(CH3)2,(CH3CH2)2NCO(O)CH(CH3)2,,(C2H5)2NH | CH3CH=CH2 | CO2,(C2H5)2NH,CH3CH=CH2,CO2,,565.0,624.0,6760000000000.0, ,180000.0
(CH3CH2)2NCO(O)C(CH3)3->(C2H5)2NH+iso-C4H8+CO2,1,(CH3CH2)2NCO(O)C(CH3)3,(CH3CH2)2NCO(O)C(CH3)3,,(C2H5)2NH | iso-C4H8 | CO2,(C2H5)2NH,iso-C4H8,CO2,,493.0,553.0,7410000000000.0, ,159000.0
1-ethylpiperazine carboxylate->C2H4+Piperazine+CO2,1,1-ethylpiperazine carboxylate,1-ethylpiperazine carboxylate,,C2H4 | Piperazine | CO2,C2H4,Piperazine,CO2,,627.0,683.0,1120000000000.0, ,188000.0
tert-Butyl-1-pyrrole carboxylate->Pyrrole+iso-C4H8+CO2,1,tert-Butyl-1-pyrrole carboxylate,tert-Butyl-1-pyrrole carboxylate,,Pyrrole | iso-C4H8 | CO2,Pyrrole,iso-C4H8,CO2,,467.0,528.0,1320000000000.0, ,145000.0
1-(tert-Butoxycarbonyl)-2-pyrrolidinone->iso-C4H8+CO2+2-Pyrrolidinone,1,1-(tert-Butoxycarbonyl)-2-pyrrolidinone,1-(tert-Butoxycarbonyl)-2-pyrrolidinone,,iso-C4H8 | CO2 | 2-Pyrrolidinone,iso-C4H8,CO2,2-Pyrrolidinone,,483.0,533.0,347000000000.0, ,141000.0
tert-Butyl-1-pyrrolidine carboxylate->iso-C4H8+Pyrrolidine+CO2,1,tert-Butyl-1-pyrrolidine carboxylate,tert-Butyl-1-pyrrolidine carboxylate,,iso-C4H8 | Pyrrolidine | CO2,iso-C4H8,Pyrrolidine,CO2,,494.0,553.0,229000000000.0, ,145000.0
Fe(CO)4(C2Cl4)->ClFe(CO)4(C2Cl3),1,Fe(CO)4(C2Cl4),Fe(CO)4(C2Cl4),,ClFe(CO)4(C2Cl3),ClFe(CO)4(C2Cl3),,,,297.0,315.0,1450000000000.0, ,87900.0
CH3CH(OH)O2->O.+CH3CH(OH)O(.),1,CH3CH(OH)O2,CH3CH(OH)O2,,O. | CH3CH(OH)O(.),O.,CH3CH(OH)O(.),,,300.0,2000.0,1780000000000000.0,-0.09,258000.0
CH3CH(OH)O2->CH3CHOH+O2,1,CH3CH(OH)O2,CH3CH(OH)O2,,CH3CHOH | O2,CH3CHOH,O2,,,300.0,2000.0,4.91e+17,-2.97,162000.0
CH3CH(OH)O2->CH2=CHOH+HO2,1,CH3CH(OH)O2,CH3CH(OH)O2,,CH2=CHOH | HO2,CH2=CHOH,HO2,,,300.0,2000.0,657000000000.0,1.36,126000.0
CH3CH(OH)O2->CH3CHO+HO2,1,CH3CH(OH)O2,CH3CH(OH)O2,,CH3CHO | HO2,CH3CHO,HO2,,,298.0,403.0,23000000000000.0, ,57600.0
CH3CH(OH)O2->CH3CH(O.)OOH,1,CH3CH(OH)O2,CH3CH(OH)O2,,CH3CH(O.)OOH,CH3CH(O.)OOH,,,,300.0,2000.0,93200000000.0,0.82,90500.0
CH3CH(OH)O2->[CH3CHO…HO2] complex,1,CH3CH(OH)O2,CH3CH(OH)O2,,[CH3CHO…HO2] complex,[CH3CHO…HO2] complex,,,,300.0,2000.0,161000000000.0,1.13,44500.0
CH3CH(OH)O2->.CH2CH(OOH)OH,1,CH3CH(OH)O2,CH3CH(OH)O2,,.CH2CH(OOH)OH,.CH2CH(OOH)OH,,,,300.0,2000.0,31600000000.0,1.89,143000.0
Fe(CO)3(N2)2->N2+Fe(CO)3(N2),1,Fe(CO)3(N2)2,Fe(CO)3(N2)2,,N2 | Fe(CO)3(N2),N2,Fe(CO)3(N2),,,297.0,304.0,3500000000000.0, ,59000.0
Fe(CO)3(neohexene)2->Fe(CO)3(neohexene)+(CH3)3CCH=CH2,1,Fe(CO)3(neohexene)2,Fe(CO)3(neohexene)2,,Fe(CO)3(neohexene) | (CH3)3CCH=CH2,Fe(CO)3(neohexene),(CH3)3CCH=CH2,,,280.0,305.0,580000000000000.0, ,63600.0
C2H5OCH=CHN(C2H5)2->CHOCH2N(C2H5)2+C2H4,1,C2H5OCH=CHN(C2H5)2,C2H5OCH=CHN(C2H5)2,,CHOCH2N(C2H5)2 | C2H4,CHOCH2N(C2H5)2,C2H4,,,593.0,653.0,1050000000000.0, ,178000.0
C2H5OCH=CHNH2->CHOCH2NH2+C2H4,1,C2H5OCH=CHNH2,C2H5OCH=CHNH2,,CHOCH2NH2 | C2H4,CHOCH2NH2,C2H4,,,593.0,653.0,760000000000.0, ,172000.0
CH3CH(.)CH2CH(CH3)2->CH3CH=CH2+iso-C3H7,1,CH3CH(.)CH2CH(CH3)2,CH3CH(.)CH2CH(CH3)2,,CH3CH=CH2 | iso-C3H7,CH3CH=CH2,iso-C3H7,,,927.0,1068.0,2900000000000.0, ,88300.0
CH3CH(.)CH2CH(CH3)2->CH3CH2CH2CH(CH3)CH2.,1,CH3CH(.)CH2CH(CH3)2,CH3CH(.)CH2CH(CH3)2,,CH3CH2CH2CH(CH3)CH2.,CH3CH2CH2CH(CH3)CH2.,,,,927.0,1068.0,130000000000.0, ,81900.0
CH3CH2CH2CH(CH3)CH2.->CH3CH=CH2+n-C3H7,1,CH3CH2CH2CH(CH3)CH2.,CH3CH2CH2CH(CH3)CH2.,,CH3CH=CH2 | n-C3H7,CH3CH=CH2,n-C3H7,,,927.0,1068.0,480000000000.0, ,94500.0
CH3CH2CH2CH(CH3)CH2.->1-C5H10+.CH3,1,CH3CH2CH2CH(CH3)CH2.,CH3CH2CH2CH(CH3)CH2.,,1-C5H10 | .CH3,1-C5H10,.CH3,,,927.0,1068.0,230000000000.0, ,97900.0
CH3CH2CH2CH(CH3)CH2.->CH3CH(.)CH2CH(CH3)2,1,CH3CH2CH2CH(CH3)CH2.,CH3CH2CH2CH(CH3)CH2.,,CH3CH(.)CH2CH(CH3)2,CH3CH(.)CH2CH(CH3)2,,,,927.0,1068.0,33000000000.0, ,70200.0
CH3CH2CH2CH(CH3)CH2.->CH3CH(CH3)CH2CH2CH2.,1,CH3CH2CH2CH(CH3)CH2.,CH3CH2CH2CH(CH3)CH2.,,CH3CH(CH3)CH2CH2CH2.,CH3CH(CH3)CH2CH2CH2.,,,,927.0,1068.0,20000000000.0, ,56100.0
(CH3)2C(.)CH2CH2CH3->iso-C4H8+.C2H5,1,(CH3)2C(.)CH2CH2CH3,(CH3)2C(.)CH2CH2CH3,,iso-C4H8 | .C2H5,iso-C4H8,.C2H5,,,927.0,1068.0,3000000000000.0, ,88000.0
(CH3)2C(.)CH2CH2CH3->CH3CH(CH3)CH2CH2CH2.,1,(CH3)2C(.)CH2CH2CH3,(CH3)2C(.)CH2CH2CH3,,CH3CH(CH3)CH2CH2CH2.,CH3CH(CH3)CH2CH2CH2.,,,,927.0,1068.0,25000000000.0, ,77300.0
CH3CH(CH3)CH2CH2CH2.->C2H4+iso-C4H9,1,CH3CH(CH3)CH2CH2CH2.,CH3CH(CH3)CH2CH2CH2.,,C2H4 | iso-C4H9,C2H4,iso-C4H9,,,927.0,1068.0,200000000000.0, ,92600.0
CH3CH(CH3)CH2CH2CH2.->CH3CH2CH2CH(CH3)CH2.,1,CH3CH(CH3)CH2CH2CH2.,CH3CH(CH3)CH2CH2CH2.,,CH3CH2CH2CH(CH3)CH2.,CH3CH2CH2CH(CH3)CH2.,,,,927.0,1068.0,27000000000.0, ,54500.0
CH3CH(CH3)CH2CH2CH2.->(CH3)2C(.)CH2CH2CH3,1,CH3CH(CH3)CH2CH2CH2.,CH3CH(CH3)CH2CH2CH2.,,(CH3)2C(.)CH2CH2CH3,(CH3)2C(.)CH2CH2CH3,,,,927.0,1068.0,13000000000.0, ,62100.0
HSOO->O.+HSO,2,HSOO,HSOO,,O. | HSO,O.,HSO,,,200.0,2000.0,0.000461,-5.87,130000.0
HSOO->O2+SH,2,HSOO,HSOO,,O2 | SH,O2,SH,,,200.0,2000.0,2.73e-08,-2.82,-31200.0
"8,9,10-trihydrofulvalenyl radical->4,7-methano-3a,7a-dihydroindenyl radical",1,"8,9,10-trihydrofulvalenyl radical","8,9,10-trihydrofulvalenyl radical",,"4,7-methano-3a,7a-dihydroindenyl radical","4,7-methano-3a,7a-dihydroindenyl radical",,,,500.0,3000.0,34500000000.0,0.81,62100.0
trans-CH2=CHOO.->CH2=CHO.+O.,1,trans-CH2=CHOO.,trans-CH2=CHOO.,,CH2=CHO. | O.,CH2=CHO.,O.,,,300.0,800.0,52900000000000.0,0.24,149000.0
trans-CH2=CHOO.->C2H3+O2,1,trans-CH2=CHOO.,trans-CH2=CHOO.,,C2H3 | O2,C2H3,O2,,,300.0,2000.0,6830000000000000.0,-0.83,188000.0
cis-CH2=CHOO.->C2H3+O2,1,cis-CH2=CHOO.,cis-CH2=CHOO.,,C2H3 | O2,C2H3,O2,,,300.0,2000.0,9460000000000000.0,-0.99,184000.0
.CH2CH2CH2CHO->CH3CH2CH2CO,1,.CH2CH2CH2CHO,.CH2CH2CH2CHO,,CH3CH2CH2CO,CH3CH2CH2CO,,,,300.0,2500.0,1650000.0,5.13,36800.0
.CH2CH2CH2CHO->C2H4+CH2=CHO.,1,.CH2CH2CH2CHO,.CH2CH2CH2CHO,,C2H4 | CH2=CHO.,C2H4,CH2=CHO.,,,300.0,2500.0,2250000000000.0,0.50,95500.0
CH3CH(.)CH2CHO->CH3CH2CH2CO,1,CH3CH(.)CH2CHO,CH3CH(.)CH2CHO,,CH3CH2CH2CO,CH3CH2CH2CO,,,,300.0,2500.0,681.0,8.89,85500.0
CH3CH(.)CH2CHO->CH3CH=CH2+HCO,1,CH3CH(.)CH2CHO,CH3CH(.)CH2CHO,,CH3CH=CH2 | HCO,CH3CH=CH2,HCO,,,300.0,2500.0,6540000000000.0,0.46,109000.0
.CH2OC(O)CH2CH2CH3->CH2O+CH3CH2CH2CO,1,.CH2OC(O)CH2CH2CH3,.CH2OC(O)CH2CH2CH3,,CH2O | CH3CH2CH2CO,CH2O,CH3CH2CH2CO,,,300.0,2500.0,104000000000000.0,0.38,154000.0
.CH2OC(O)CH2CH2CH3->CH3OC(O)CH.CH2CH3,1,.CH2OC(O)CH2CH2CH3,.CH2OC(O)CH2CH2CH3,,CH3OC(O)CH.CH2CH3,CH3OC(O)CH.CH2CH3,,,,300.0,2500.0,1990000.0,6.26,65500.0
.CH2OC(O)CH2CH2CH3->CH3OC(O)CH2CH.CH3,1,.CH2OC(O)CH2CH2CH3,.CH2OC(O)CH2CH2CH3,,CH3OC(O)CH2CH.CH3,CH3OC(O)CH2CH.CH3,,,,300.0,2500.0,8630000.0,5.07,64800.0
.CH2OC(O)CH2CH2CH3->CH3OC(O)CH2CH2CH2.,1,.CH2OC(O)CH2CH2CH3,.CH2OC(O)CH2CH2CH3,,CH3OC(O)CH2CH2CH2.,CH3OC(O)CH2CH2CH2.,,,,300.0,2500.0,916000.0,5.40,73300.0
.CH2CH2CHCO->C2H4+HCCO,1,.CH2CH2CHCO,.CH2CH2CHCO,,C2H4 | HCCO,C2H4,HCCO,,,300.0,2500.0,34800000000000.0,0.41,126000.0
CH3CH(.)CHCO->CO+CH3CH=CH,1,CH3CH(.)CHCO,CH3CH(.)CHCO,,CO | CH3CH=CH,CO,CH3CH=CH,,,300.0,2500.0,20600000000000.0,0.65,111000.0
CH3OC(O)CH2CH2.->CH2=CHCOOCH3+H.,1,CH3OC(O)CH2CH2.,CH3OC(O)CH2CH2.,,CH2=CHCOOCH3 | H.,CH2=CHCOOCH3,H.,,,300.0,2500.0,1200000000000.0,1.57,161000.0
CH3OC(O)CH2CH2.->C2H4+CH3OC(.)(O),1,CH3OC(O)CH2CH2.,CH3OC(O)CH2CH2.,,C2H4 | CH3OC(.)(O),C2H4,CH3OC(.)(O),,,300.0,2500.0,137000000000000.0,0.27,145000.0
.CH2CH=CO->CO+C2H3,1,.CH2CH=CO,.CH2CH=CO,,CO | C2H3,CO,C2H3,,,300.0,2500.0,126000000000000.0,0.63,114000.0
.CH2OC(O)CH=CH2->.CH2CH=CO+CH2O,1,.CH2OC(O)CH=CH2,.CH2OC(O)CH=CH2,,.CH2CH=CO | CH2O,.CH2CH=CO,CH2O,,,300.0,2500.0,4730000000000.0,0.49,126000.0
CH3OC(O)C(.)=CH2->CH3O.+CH2=C=C=O,1,CH3OC(O)C(.)=CH2,CH3OC(O)C(.)=CH2,,CH3O. | CH2=C=C=O,CH3O.,CH2=C=C=O,,,300.0,2500.0,98000000000000.0,0.52,202000.0
CH3OC(O)CH=CH.->C2H2+CH3OC(.)(O),1,CH3OC(O)CH=CH.,CH3OC(O)CH=CH.,,C2H2 | CH3OC(.)(O),C2H2,CH3OC(.)(O),,,300.0,2500.0,612000000000000.0,0.82,161000.0
CH3OC(O)CH.CH2CH3->CH3O.+C2H5CH=C=O,1,CH3OC(O)CH.CH2CH3,CH3OC(O)CH.CH2CH3,,CH3O. | C2H5CH=C=O,CH3O.,C2H5CH=C=O,,,300.0,2500.0,46500000000000.0,0.61,223000.0
CH3OC(O)CH.CH2CH3->CH2=CHCOOCH3+.CH3,1,CH3OC(O)CH.CH2CH3,CH3OC(O)CH.CH2CH3,,CH2=CHCOOCH3 | .CH3,CH2=CHCOOCH3,.CH3,,,300.0,2500.0,33600000000000.0,0.97,146000.0
CH3OC(O)CH.CH2CH3->.CH2OC(O)CH2CH2CH3,1,CH3OC(O)CH.CH2CH3,CH3OC(O)CH.CH2CH3,,.CH2OC(O)CH2CH2CH3,.CH2OC(O)CH2CH2CH3,,,,300.0,2500.0,1600000.0,6.55,91000.0
CH3OC(O)CH.CH2CH3->CH3OC(O)CH2CH.CH3,1,CH3OC(O)CH.CH2CH3,CH3OC(O)CH.CH2CH3,,CH3OC(O)CH2CH.CH3,CH3OC(O)CH2CH.CH3,,,,300.0,2500.0,21700000.0,5.92,120000.0
CH3OC(O)CH.CH2CH3->CH3OC(O)CH2CH2CH2.,1,CH3OC(O)CH.CH2CH3,CH3OC(O)CH.CH2CH3,,CH3OC(O)CH2CH2CH2.,CH3OC(O)CH2CH2CH2.,,,,300.0,2500.0,376.0,10.29,103000.0
CH3OC(O)CH2CH.CH3->CH3CH=CH2+CH3OC(.)(O),1,CH3OC(O)CH2CH.CH3,CH3OC(O)CH2CH.CH3,,CH3CH=CH2 | CH3OC(.)(O),CH3CH=CH2,CH3OC(.)(O),,,300.0,2500.0,30500000000000.0,0.33,143000.0
CH3OC(O)CH2CH.CH3->.CH2OC(O)CH2CH2CH3,1,CH3OC(O)CH2CH.CH3,CH3OC(O)CH2CH.CH3,,.CH2OC(O)CH2CH2CH3,.CH2OC(O)CH2CH2CH3,,,,300.0,2500.0,849000.0,5.16,70400.0
CH3OC(O)CH2CH.CH3->CH3OC(O)CH.CH2CH3,1,CH3OC(O)CH2CH.CH3,CH3OC(O)CH2CH.CH3,,CH3OC(O)CH.CH2CH3,CH3OC(O)CH.CH2CH3,,,,300.0,2500.0,1330000.0,5.71,99700.0
CH3OC(O)CH2CH.CH3->CH3OC(O)CH2CH2CH2.,1,CH3OC(O)CH2CH.CH3,CH3OC(O)CH2CH.CH3,,CH3OC(O)CH2CH2CH2.,CH3OC(O)CH2CH2CH2.,,,,300.0,2500.0,11200.0,8.50,112000.0
CH3OC(O)CH2CH2CH2.->C2H4+CH2C(O)OCH3,1,CH3OC(O)CH2CH2CH2.,CH3OC(O)CH2CH2CH2.,,C2H4 | CH2C(O)OCH3,C2H4,CH2C(O)OCH3,,,300.0,2500.0,9030000000000.0,0.50,111000.0
CH3OC(O)CH2CH2CH2.->.CH2OC(O)CH2CH2CH3,1,CH3OC(O)CH2CH2CH2.,CH3OC(O)CH2CH2CH2.,,.CH2OC(O)CH2CH2CH3,.CH2OC(O)CH2CH2CH3,,,,300.0,2500.0,372000.0,5.43,65900.0
CH3OC(O)CH2CH2CH2.->CH3OC(O)CH.CH2CH3,1,CH3OC(O)CH2CH2CH2.,CH3OC(O)CH2CH2CH2.,,CH3OC(O)CH.CH2CH3,CH3OC(O)CH.CH2CH3,,,,300.0,2500.0,95.59,10.03,69900.0
CH3OC(O)CH2CH2CH2.->CH3OC(O)CH2CH.CH3,1,CH3OC(O)CH2CH2CH2.,CH3OC(O)CH2CH2CH2.,,CH3OC(O)CH2CH.CH3,CH3OC(O)CH2CH.CH3,,,,300.0,2500.0,46000.0,8.45,99100.0
1-isopropylcyclopropene->CH2=C=CHCH(CH3)2,1,1-isopropylcyclopropene,1-isopropylcyclopropene,,CH2=C=CHCH(CH3)2,CH2=C=CHCH(CH3)2,,,,471.0,523.0,630000000000000.0, ,194000.0
1-isopropylcyclopropene->(Z)-CH2=CHCH2CH=CHCH3,1,1-isopropylcyclopropene,1-isopropylcyclopropene,,(Z)-CH2=CHCH2CH=CHCH3,(Z)-CH2=CHCH2CH=CHCH3,,,,471.0,523.0,10000000000000.0, ,176000.0
"1-isopropylcyclopropene->1,3,3-Trimethylcyclopropene",1,1-isopropylcyclopropene,1-isopropylcyclopropene,,"1,3,3-Trimethylcyclopropene","1,3,3-Trimethylcyclopropene",,,,471.0,523.0,3800000000000.0, ,158000.0
1-isopropylcyclopropene->(CH3)2C=CHCH=CH2,1,1-isopropylcyclopropene,1-isopropylcyclopropene,,(CH3)2C=CHCH=CH2,(CH3)2C=CHCH=CH2,,,,471.0,523.0,6500000000000.0, ,157000.0
1-isopropylcyclopropene->(CH3)2CHC(CH3)=C(:),1,1-isopropylcyclopropene,1-isopropylcyclopropene,,(CH3)2CHC(CH3)=C(:),(CH3)2CHC(CH3)=C(:),,,,471.0,523.0,13000000000000.0, ,161000.0
C2H5CH(CH3)C(O).->CO+sec-C4H9,1,C2H5CH(CH3)C(O).,C2H5CH(CH3)C(O).,,CO | sec-C4H9,CO,sec-C4H9,,,298.0,298.0,15700000000000.0, ,53400.0
CF3CHFCF2.->.CF2+CF3CHF,1,CF3CHFCF2.,CF3CHFCF2.,,.CF2 | CF3CHF,.CF2,CF3CHF,,,1250.0,1550.0,500000000000000.0, ,247000.0
CF3CHFCF2.->C2HF3+.CF3,1,CF3CHFCF2.,CF3CHFCF2.,,C2HF3 | .CF3,C2HF3,.CF3,,,1250.0,1550.0,50000000000000.0, ,172000.0
iso-CH2(.)S(=O)CH2OOH->CH2SO+CH2O+.OH,1,iso-CH2(.)S(=O)CH2OOH,iso-CH2(.)S(=O)CH2OOH,,CH2SO | CH2O | .OH,CH2SO,CH2O,.OH,,300.0,1000.0,26000000000000.0,0.12,22200.0
CH2(.)S(=O)CH2OOH->CH2(OH)S(.)=O+CH2O,1,CH2(.)S(=O)CH2OOH,CH2(.)S(=O)CH2OOH,,CH2(OH)S(.)=O | CH2O,CH2(OH)S(.)=O,CH2O,,,300.0,1000.0,1050000000000.0,0.71,83300.0
CH2(.)S(=O)CH2OOH->CH3S(=O)CH2OO.,1,CH2(.)S(=O)CH2OOH,CH2(.)S(=O)CH2OOH,,CH3S(=O)CH2OO.,CH3S(=O)CH2OO.,,,,300.0,1000.0,1410000000000.0,0.17,27100.0
CH3S(=O)CH2OO.->CH3S(O)+CH2OO,1,CH3S(=O)CH2OO.,CH3S(=O)CH2OO.,,CH3S(O) | CH2OO,CH3S(O),CH2OO,,,300.0,1000.0,390000000000000.0,0.43,78900.0
CH3S(=O)CH2OO.->CH2(.)S(=O)CH2OOH,1,CH3S(=O)CH2OO.,CH3S(=O)CH2OO.,,CH2(.)S(=O)CH2OOH,CH2(.)S(=O)CH2OOH,,,,300.0,1000.0,925000000000.0,0.71,72000.0
C5H4CH2CHCH2->Styrene+H.,1,C5H4CH2CHCH2,C5H4CH2CHCH2,,Styrene | H.,Styrene,H.,,,900.0,1800.0,30000000000000.0, ,172000.0
C5H4C3H3->Phenylacetylene+H.,1,C5H4C3H3,C5H4C3H3,,Phenylacetylene | H.,Phenylacetylene,H.,,,900.0,1800.0,30000000000000.0, ,242000.0
C6H4(.)C3H5->Indene+H.,1,C6H4(.)C3H5,C6H4(.)C3H5,,Indene | H.,Indene,H.,,,900.0,1800.0,10000000000000.0, ,90000.0
C6H5C3H4.->Indene+H.,1,C6H5C3H4.,C6H5C3H4.,,Indene | H.,Indene,H.,,,900.0,1800.0,10000000000000.0, ,137000.0
"1-isopropylcyclopenta-1,3-diene->1-isopropenylcyclopenta-1,3-diene+H.",1,"1-isopropylcyclopenta-1,3-diene","1-isopropylcyclopenta-1,3-diene",,"1-isopropenylcyclopenta-1,3-diene | H.","1-isopropenylcyclopenta-1,3-diene",H.,,,996.0,1127.0,28500000000000.0, ,165000.0
"1-isopropylcyclopenta-1,3-diene->2-isopropylcyclopenta-1,3-diene",1,"1-isopropylcyclopenta-1,3-diene","1-isopropylcyclopenta-1,3-diene",,"2-isopropylcyclopenta-1,3-diene","2-isopropylcyclopenta-1,3-diene",,,,996.0,1127.0,17300000000000.0, ,72500.0
"1-isopropylcyclopenta-1,3-diene->5-isopropylcyclopenta-1,3-diene",1,"1-isopropylcyclopenta-1,3-diene","1-isopropylcyclopenta-1,3-diene",,"5-isopropylcyclopenta-1,3-diene","5-isopropylcyclopenta-1,3-diene",,,,996.0,1127.0,78800000000000.0, ,159000.0
"2-isopropylcyclopenta-1,3-diene->2-isopropenylcyclopenta-1,3-diene+H.",1,"2-isopropylcyclopenta-1,3-diene","2-isopropylcyclopenta-1,3-diene",,"2-isopropenylcyclopenta-1,3-diene | H.","2-isopropenylcyclopenta-1,3-diene",H.,,,996.0,1127.0,28500000000000.0, ,184000.0
"2-isopropylcyclopenta-1,3-diene->1-isopropylcyclopenta-1,3-diene",1,"2-isopropylcyclopenta-1,3-diene","2-isopropylcyclopenta-1,3-diene",,"1-isopropylcyclopenta-1,3-diene","1-isopropylcyclopenta-1,3-diene",,,,996.0,1127.0,21100000000000.0, ,89200.0
"5-isopropylcyclopenta-1,3-diene->Toluene+.CH3",1,"5-isopropylcyclopenta-1,3-diene","5-isopropylcyclopenta-1,3-diene",,Toluene | .CH3,Toluene,.CH3,,,996.0,1127.0,20000000000000.0, ,62800.0
"5-isopropylcyclopenta-1,3-diene->1-isopropylcyclopenta-1,3-diene",1,"5-isopropylcyclopenta-1,3-diene","5-isopropylcyclopenta-1,3-diene",,"1-isopropylcyclopenta-1,3-diene","1-isopropylcyclopenta-1,3-diene",,,,996.0,1127.0,318000000000000.0, ,96300.0
"2-tert-butylcyclopenta-1,3-diene->2-isopropylcyclopenta-1,3-diene+.CH3",1,"2-tert-butylcyclopenta-1,3-diene","2-tert-butylcyclopenta-1,3-diene",,"2-isopropylcyclopenta-1,3-diene | .CH3","2-isopropylcyclopenta-1,3-diene",.CH3,,,996.0,1127.0,1930000000000000.0, ,253000.0
"2-tert-butylcyclopenta-1,3-diene->1-tert-butylcyclopenta-1,3-diene",1,"2-tert-butylcyclopenta-1,3-diene","2-tert-butylcyclopenta-1,3-diene",,"1-tert-butylcyclopenta-1,3-diene","1-tert-butylcyclopenta-1,3-diene",,,,996.0,1127.0,1030000000000.0, ,86500.0
"5-tert-butylcyclopenta-1,3-diene->tert-C4H9+Cyclopentadienyl",1,"5-tert-butylcyclopenta-1,3-diene","5-tert-butylcyclopenta-1,3-diene",,tert-C4H9 | Cyclopentadienyl,tert-C4H9,Cyclopentadienyl,,,996.0,1127.0,6400000000000000.0, ,243000.0
"5-tert-butylcyclopenta-1,3-diene->iso-C4H8+Cyclopentadiene",1,"5-tert-butylcyclopenta-1,3-diene","5-tert-butylcyclopenta-1,3-diene",,iso-C4H8 | Cyclopentadiene,iso-C4H8,Cyclopentadiene,,,996.0,1127.0,15400000000000.0, ,195000.0
"5-tert-butylcyclopenta-1,3-diene->1-tert-butylcyclopenta-1,3-diene",1,"5-tert-butylcyclopenta-1,3-diene","5-tert-butylcyclopenta-1,3-diene",,"1-tert-butylcyclopenta-1,3-diene","1-tert-butylcyclopenta-1,3-diene",,,,996.0,1127.0,2000000000000.0, ,85400.0
"1-tert-butylcyclopenta-1,3-diene->1-isopropylcyclopenta-1,3-diene+.CH3",1,"1-tert-butylcyclopenta-1,3-diene","1-tert-butylcyclopenta-1,3-diene",,"1-isopropylcyclopenta-1,3-diene | .CH3","1-isopropylcyclopenta-1,3-diene",.CH3,,,996.0,1127.0,1930000000000000.0, ,278000.0
"1-tert-butylcyclopenta-1,3-diene->2-tert-butylcyclopenta-1,3-diene",1,"1-tert-butylcyclopenta-1,3-diene","1-tert-butylcyclopenta-1,3-diene",,"2-tert-butylcyclopenta-1,3-diene","2-tert-butylcyclopenta-1,3-diene",,,,996.0,1127.0,2000000000000.0, ,85400.0
"1-tert-butylcyclopenta-1,3-diene->5-tert-butylcyclopenta-1,3-diene",1,"1-tert-butylcyclopenta-1,3-diene","1-tert-butylcyclopenta-1,3-diene",,"5-tert-butylcyclopenta-1,3-diene","5-tert-butylcyclopenta-1,3-diene",,,,996.0,1127.0,1680000000000.0, ,97400.0
CH2OCH2OOH->CH2O+CH2O+.OH,1,CH2OCH2OOH,CH2OCH2OOH,,CH2O | CH2O | .OH,CH2O,CH2O,.OH,,296.0,650.0,12500000000000.0, ,84100.0
C6H4CH2C6H5->9H-Fluorene+H.,1,C6H4CH2C6H5,C6H4CH2C6H5,,9H-Fluorene | H.,9H-Fluorene,H.,,,1000.0,2500.0,15400000000000.0,0.48,93700.0
"C6H4CH2C6H5->4a,4b,8a,9a-tetrahydrofluorene",1,C6H4CH2C6H5,C6H4CH2C6H5,,"4a,4b,8a,9a-tetrahydrofluorene","4a,4b,8a,9a-tetrahydrofluorene",,,,1000.0,2500.0,15400000000000.0,0.27,203000.0
"4a,4b,8a,9a-tetrahydrofluorene->C6H4CH2C6H5",1,"4a,4b,8a,9a-tetrahydrofluorene","4a,4b,8a,9a-tetrahydrofluorene",,C6H4CH2C6H5,C6H4CH2C6H5,,,,1000.0,2500.0,4840000000000.0,0.26,149000.0
"4a,4b,8a,9a-tetrahydrofluorene->C13H11.",1,"4a,4b,8a,9a-tetrahydrofluorene","4a,4b,8a,9a-tetrahydrofluorene",,C13H11.,C13H11.,,,,1000.0,2500.0,12000000000000.0,0.02,156000.0
"C13H11.->4a,4b,8a,9a-tetrahydrofluorene",1,C13H11.,C13H11.,,"4a,4b,8a,9a-tetrahydrofluorene","4a,4b,8a,9a-tetrahydrofluorene",,,,1000.0,2500.0,165000000000.0,0.46,91200.0
C13H11.->C6H4C5H5C2H2,1,C13H11.,C13H11.,,C6H4C5H5C2H2,C6H4C5H5C2H2,,,,1000.0,2500.0,4270000000000.0,-0.33,136000.0
C6H4C5H5C2H2->C13H11.,1,C6H4C5H5C2H2,C6H4C5H5C2H2,,C13H11.,C13H11.,,,,1000.0,2500.0,30600000000000.0,0.09,97500.0
C6H4C5H5C2H2->C11H9CHCH,1,C6H4C5H5C2H2,C6H4C5H5C2H2,,C11H9CHCH,C11H9CHCH,,,,1000.0,2500.0,28400000000000.0,0.05,119000.0
C11H9CHCH->C6H4C5H5C2H2,1,C11H9CHCH,C11H9CHCH,,C6H4C5H5C2H2,C6H4C5H5C2H2,,,,1000.0,2500.0,2680000000000.0,5.00E-03,45200.0
C11H9CHCH->C11H9.+C2H2,1,C11H9CHCH,C11H9CHCH,,C11H9. | C2H2,C11H9.,C2H2,,,1000.0,2500.0,367000000000000.0,-0.11,73200.0
C11H9.->C6H4C3H3C2H2,1,C11H9.,C11H9.,,C6H4C3H3C2H2,C6H4C3H3C2H2,,,,1000.0,2500.0,33000000000000.0,0.26,247000.0
